Barcode	Bio Sample (delete entire rows of barcodes not used; allowed characters: alphanumeric space dot underscore hyphen. Other characters will be automatically removed.)	CAGRF_ID	condition	pool
bc1005--bc1033	PC	PC	Positive	Positive
bc1005--bc1035	NC	NC	Negative	Negative
bc1005--bc1044	Sample 1	CAGRF12345	Rep1	REp1
bc1005--bc1045				
bc1005--bc1054				
bc1005--bc1056				
bc1005--bc1057				
bc1005--bc1059				
bc1005--bc1060				
bc1005--bc1062				
bc1005--bc1065				
bc1005--bc1075				
bc1007--bc1033				
bc1007--bc1035				
bc1007--bc1044				
bc1007--bc1045				
bc1007--bc1054				
bc1007--bc1056				
bc1007--bc1057				
bc1007--bc1059				
bc1007--bc1060				
bc1007--bc1062				
bc1007--bc1065				
bc1007--bc1075				
bc1008--bc1033				
bc1008--bc1035				
bc1008--bc1044				
bc1008--bc1045				
bc1008--bc1054				
bc1008--bc1056				
bc1008--bc1057				
bc1008--bc1059				
bc1008--bc1060				
bc1008--bc1062				
bc1008--bc1065				
bc1008--bc1075				
bc1012--bc1033				
bc1012--bc1035				
bc1012--bc1044				
bc1012--bc1045				
bc1012--bc1054				
bc1012--bc1056				
bc1012--bc1057				
bc1012--bc1059				
bc1012--bc1060				
bc1012--bc1062				
bc1012--bc1065				
bc1012--bc1075				
bc1015--bc1033				
bc1015--bc1035				
bc1015--bc1044				
bc1015--bc1045				
bc1015--bc1054				
bc1015--bc1056				
bc1015--bc1057				
bc1015--bc1059				
bc1015--bc1060				
bc1015--bc1062				
bc1015--bc1065				
bc1015--bc1075				
bc1020--bc1033				
bc1020--bc1035				
bc1020--bc1044				
bc1020--bc1045				
bc1020--bc1054				
bc1020--bc1056				
bc1020--bc1057				
bc1020--bc1059				
bc1020--bc1060				
bc1020--bc1062				
bc1020--bc1065				
bc1020--bc1075				
bc1022--bc1033				
bc1022--bc1035				
bc1022--bc1044				
bc1022--bc1045				
bc1022--bc1054				
bc1022--bc1056				
bc1022--bc1057				
bc1022--bc1059				
bc1022--bc1060				
bc1022--bc1062				
bc1022--bc1065				
bc1022--bc1075				
bc1024--bc1033				
bc1024--bc1035				
bc1024--bc1044				
bc1024--bc1045				
bc1024--bc1054				
bc1024--bc1056				
bc1024--bc1057				
bc1024--bc1059				
bc1024--bc1060				
bc1024--bc1062				
bc1024--bc1065				
bc1024--bc1075				
bc1005--bc1076				
bc1005--bc1082				
bc1005--bc1083				
bc1005--bc1089				
bc1005--bc1096				
bc1005--bc1098				
bc1005--bc1100				
bc1005--bc1101				
bc1005--bc1105				
bc1005--bc1107				
bc1005--bc1110				
bc1005--bc1112				
bc1007--bc1076				
bc1007--bc1082				
bc1007--bc1083				
bc1007--bc1089				
bc1007--bc1096				
bc1007--bc1098				
bc1007--bc1100				
bc1007--bc1101				
bc1007--bc1105				
bc1007--bc1107				
bc1007--bc1110				
bc1007--bc1112				
bc1008--bc1076				
bc1008--bc1082				
bc1008--bc1083				
bc1008--bc1089				
bc1008--bc1096				
bc1008--bc1098				
bc1008--bc1100				
bc1008--bc1101				
bc1008--bc1105				
bc1008--bc1107				
bc1008--bc1110				
bc1008--bc1112				
bc1012--bc1076				
bc1012--bc1082				
bc1012--bc1083				
bc1012--bc1089				
bc1012--bc1096				
bc1012--bc1098				
bc1012--bc1100				
bc1012--bc1101				
bc1012--bc1105				
bc1012--bc1107				
bc1012--bc1110				
bc1012--bc1112				
bc1015--bc1076				
bc1015--bc1082				
bc1015--bc1083				
bc1015--bc1089				
bc1015--bc1096				
bc1015--bc1098				
bc1015--bc1100				
bc1015--bc1101				
bc1015--bc1105				
bc1015--bc1107				
bc1015--bc1110				
bc1015--bc1112				
bc1020--bc1076				
bc1020--bc1082				
bc1020--bc1083				
bc1020--bc1089				
bc1020--bc1096				
bc1020--bc1098				
bc1020--bc1100				
bc1020--bc1101				
bc1020--bc1105				
bc1020--bc1107				
bc1020--bc1110				
bc1020--bc1112				
bc1022--bc1076				
bc1022--bc1082				
bc1022--bc1083				
bc1022--bc1089				
bc1022--bc1096				
bc1022--bc1098				
bc1022--bc1100				
bc1022--bc1101				
bc1022--bc1105				
bc1022--bc1107				
bc1022--bc1110				
bc1022--bc1112				
bc1024--bc1076				
bc1024--bc1082				
bc1024--bc1083				
bc1024--bc1089				
bc1024--bc1096				
bc1024--bc1098				
bc1024--bc1100				
bc1024--bc1101				
bc1024--bc1105				
bc1024--bc1107				
bc1024--bc1110				
bc1024--bc1112				
